name,city,street,opening_hours,phone,lat,lon
ОУ Кузман Шапкарев,,,,,41.9412925,21.5220616
Средно Богословско Училиште   Св.Климент Охридски”,,,,,41.930702,21.5250014
ОУ Лазо Ангеловски,,,,,41.9831139,21.4801673
ОУ Ѓорѓија Пулевски,,,,,41.989496,21.4647295
С.У.Г.С. Владо Тасевски,,Булевар 3та Македонска Бригада,,,41.9779285,21.4614259
ОУ Невена Георгиева Дуња,,,,,41.9804094,21.4452441
ОУ Ѓорче Петров,,4 Јули,,,42.0077915,21.3368528
АСУЦ Боро Петрушевски,,,,,42.0015951,21.4754763
ОУ Јоаким Крчовски,,,,,42.0545245,21.3489186
ОУ Јоаким Крчовски,,,,,42.0681485,21.3365301
ОУ Борис Кидрич,,,,,41.9798991,21.438909
ОУ Тихомир Милошевски,,,,,42.0311313,21.3494164
СЕТУ Михајло Пупин,,,,,42.0022755,21.4794205
СУГС „Марија Кири Склодовска“,,Булевар 3та Македонска Бригада,,,41.9788554,21.4642829
ОУ Рајко Жинзифов,,,,,41.95583,21.4836519
Градинка Буба Мара,,,,,41.9841537,21.47891
О.У. Гоце Делчев,,,,,41.9698352,21.4870371
О.У. Александар Македонски,,,,,41.9793878,21.471096
Градинка Весели Цветови,,Кресна,,,41.976845,21.4665127
ООУ „Димитар Македонски“,Скопје,Ѓуро Малешевац,,+389 2 2440 011,41.9735867,21.476256
ДСУ Димитар Влахов,,,,,41.9853253,21.4458968
Др. Златан Сремец,,,,,41.9848465,21.4366391
ОУГС Битолски Конгрес,,,,,42.001846,21.4439235
ОУ „Аврам Писевски“,,,,,42.0261333,21.3832835
ОУ Димитар Поп Георгиев - Беровски,,,,,42.0039542,21.3705171
ООУ Ѓорѓија Кастриот,,,,,42.0238679,21.5602465
Интернационално Школо,,,,,42.0006861,21.4221375
ОУ Крсте Мисирков,Скопје,Сречко Пужаљка,,+389 2 322 6655,42.0103646,21.5047664
QSI International School of Skopje,,,,,42.0019154,21.3819861
СУГС Никола Карев,,,,,42.0044059,21.4002679
Петар Поп Арсов,,,,,42.0063887,21.3878232
ОУ Мирче Ацев,,,,,42.0081353,21.3508135
Shkolla Emin Duraku,,,,,41.973436,21.2378011
Kiril Pejchinovik,,,,,41.9781468,21.4443324
Гимназија „Јосип Броз Тито“,Cкoпje,Димитрије Чуповски,,+389 2 3214 314,41.9944666,21.4261921
ООУ  Киро Глигоров'',Cкoпje,Aдам Мицкиевиќ,,+38926142744;+38926142745,41.9925398,21.4143237
Гоце Делчев,Скопје,Градски зид,,+389 (02) 3129062,41.9926194,21.4280379
ОУ Глигор Прличев,,,,,42.0145635,21.4588205
ОУГС Љубен Лапе,Cкoпje,,,,41.9843491,21.4603752
